dataset_id,suite_path,allowed_roles,forbidden_roles,headline_teacher_policy,scientific_status,reason
external_wireless,02_EXTERNAL_WIRELESS/external_wireless,"external baselines; adapter development; preregistered external-domain evaluation; common warm-start ablation","formal sibling-world training; headline teacher; route threshold fitting; main target support/query; original WWM or IRT2 claims",NEVER,"ENGINEERING_VERIFIED_WITH_PUBLIC_SUBSTITUTIONS","No shared hypercube or common Tx/Rx intervention semantics; original WWM and IRT2HighRes missing"
qualcomm_wireless_indoor,03_INDEPENDENT_ENGINE_QUALCOMM/qualcomm_wireless_indoor,"independent-engine baseline candidate; adapter development; preregistered domain test after license resolution","formal paired training; direct second-engine gate closure; headline teacher; public redistribution before license resolution",NEVER,"BLOCKED_PENDING_LICENSE_AND_PAIRED_RETRACE","Different RT engine but no registered CSI-PAIRS sibling-world retrace"
legacy_sionna_osm_34bank,01_FORMAL_MAIN_CANDIDATES/legacy_sionna_osm_34bank_POST_AUDIT_NO_GO,"schema inspection; pathless regression; loader and failure diagnostics","paper tables; model selection; teacher; source training; target evaluation; external validity",NEVER,"POST_AUDIT_NO_GO","16124 of 34816 clean units are pathless and all-zero"
full_synthetic_fixture,04_FIXTURES_SOFTWARE_ONLY/csi_pairs_v2_1_v6_full_synthetic,"software tests; schema tests; deterministic replay; pipeline dry-run","all scientific training and evaluation; paper tables; gate closure",NEVER,"scientific_use=FORBIDDEN","Synthetic fixture model only"
dual_a100_sionna_fixture,04_FIXTURES_SOFTWARE_ONLY/csi_pairs_v2_1_v6_sionna_rt_dual_a100,"software tests; GPU RT adapter tests; structural validation","all scientific training and evaluation; paper tables; independent-engine claims",NEVER,"scientific_use=FORBIDDEN","Genuine RT fixture but no calibration or external validity"
smoke_fixture,04_FIXTURES_SOFTWARE_ONLY/csi_pairs_v2_1_v6_smoke,"loader smoke tests; CI; artifact inspection","all scientific training and evaluation; paper tables; gate closure",NEVER,"scientific_use=FORBIDDEN","Toy code fixture"
legacy_candidate_005000Z,05_INCOMPLETE_AND_FAILED_RUNS/legacy_sionna_osm_candidate_005000Z,"historical comparison; generator regression","paper tables; model selection; teacher; formal release",NEVER,"INCOMPLETE_OR_SUPERSEDED","Earlier candidate retained only for diagnosis"
diagnostic_scene_00,05_INCOMPLETE_AND_FAILED_RUNS/diagnostic_scene_00_004000Z,"single-scene debugging; deterministic regression","paper tables; training; formal release",NEVER,"DIAGNOSTIC_ONLY","One scene is not an independent formal dataset"
dense_diagnostic_scene_22,05_INCOMPLETE_AND_FAILED_RUNS/dense_diagnostic_scene_22_004500Z,"single-scene debugging; dense-path regression","paper tables; training; formal release",NEVER,"DIAGNOSTIC_ONLY","One scene is not an independent formal dataset"
m4_formal_20260809T080951Z,05_INCOMPLETE_AND_FAILED_RUNS/failed_m4_formal_20260809T080951Z_path_id_collision,"failure diagnosis; path-ID regression; receiver-protocol and scene-00 replay audit","formal merge; paper tables; teacher; training; gate closure",NEVER,"FAILED_INCOMPLETE","Scene 12 stable Sionna path identifier collision; only 7 of 8 shards and no merge"
m4_paper_v2_failed_20260809T082513Z,05_INCOMPLETE_AND_FAILED_RUNS/failed_m4_paper_v2_20260809T082513Z,"failure diagnosis only","formal merge; paper tables; training; gate closure",NEVER,"FAILED","Bank source-chicago-05 had only 199 deterministic LOS candidates"
failed_visibility_diagnostic_20260809T0852Z,05_INCOMPLETE_AND_FAILED_RUNS/failed_visibility_diagnostic_20260809T0852Z,"failure diagnosis only","formal merge; paper tables; training; gate closure",NEVER,"FAILED","Boston bank-01 had 8 pathless and all-zero units; scene-10 produced no output"
